tipo;grupo;fabricante;marca;participacao;cor_rgb;largura;frentes_min;ordem
CAO;PETISCO;MARS;PEDIGREE;0.3444;240,153,24;10;2;12
CAO;PETISCO;KELCO;KELDOG;0.2961;254,250,91;10;1;60
CAO;PETISCO;NESS;BISTEQUITOS;0.1934;37,211,102;10;1;6
CAO;PETISCO;GRUPO RACOES REIS;BAW WAW;0.1718;239,194,13;10;1;7
CAO;PETISCO;NESTLE;DOG CHOW;0.01443;64,158,26;10;1;13
CAO;UMIDO;MARS;PEDIGREE;0.636;240,153,24;10;2;12
CAO;UMIDO;NESTLE;DOG CHOW;0.266;64,158,26;10;1;13
CAO;UMIDO;MARS;CHAMP;0.0588;255,102,0;10;2;57
CAO;UMIDO;BRF;BALANCE;0.0391;24,198,189;10;1;15
CAO;SECO;MARS;PEDIGREE;0.6342;240,153,24;10;2;12
CAO;SECO;NESTLE;DOG CHOW;0.0675;64,158,26;10;1;13
CAO;SECO;BRF;BALANCE;0.1074;24,198,189;10;1;15
CAO;SECO;NESTLE;ALPO;0.1909;239,67,33;10;1;59
GATO;PETISCO;MARS;DREAMIES;0.4771;64,61,233;10;2;2
GATO;PETISCO;MARS;WHISKAS;0.2102;165,24,144;10;2;10
GATO;PETISCO;KELCO;KEL CAT;0.1135;255,255,255;10;1;999
GATO;PETISCO;NESTLE;FRISKIES;0.1992;251,203,13;10;1;11
GATO;UMIDO;MARS;WHISKAS;0.4894;165,24,144;10;2;10
GATO;UMIDO;BRF;BALANCE;0.0411;24,198,189;10;1;13
GATO;UMIDO;MARS;KITEKAT;0.0724;109,189,70;10;2;47
GATO;UMIDO;NESTLE;FRISKIES;0.3971;251,203,13;10;1;11
GATO;SECO;MARS;WHISKAS;0.5468;165,24,144;10;2;10
GATO;SECO;NESTLE;FRISKIES;0.4037;254,150,91;10;1;11
GATO;SECO;MARS;KITEKAT;0.0496;251,203,13;10;2;47
